order_id,order_date,region,category,product,customer,quantity,unit_price,sales,cost,profit,profit_margin
ORD-00414,2026-04-19,Karachi,Electronics,Keyboard,West Mart,3,12860.92,38582.76,23271.12,15311.640000000003,39.685185818743925
ORD-00497,2026-01-06,Multan,Electronics,Wireless Earbuds,Khyber Enterprises,1,15382.56,15382.56,8692.08,6690.48,43.49393078915343
ORD-00282,2026-01-26,Karachi,Home Appliances,Microwave Oven,Prime Solutions,4,39692.79,158771.16,114652.08,44119.08,27.78784257795937
ORD-00595,2026-01-11,Karachi,Furniture,Study Desk,Khyber Stores,6,49618.35,297710.1,216183.54,81526.55999999997,27.384546241461067
ORD-00285,2026-01-26,Lahore,Electronics,Monitor,Crescent Traders,2,49395.15,98790.3,76407.16,22383.14,22.65722444410028
ORD-00155,2026-05-30,Multan,Clothing,Formal Shirt,Prime Industries,3,6890.79,20672.37,12144.75,8527.619999999999,41.25129339306524
ORD-00263,2026-04-27,Multan,Unknown,Polo Shirt,Pak Ltd,5,4769.37,23846.85,14448.1,9398.749999999998,39.412962299003844
ORD-00551,2026-01-21,Multan,Clothing,Trousers,Royal Co,5,8625.79,43128.95,26080.45,17048.499999999996,39.529132983761485
ORD-00006,2026-05-22,Unknown,Office Supplies,Ink Cartridge,Green Mart,6,9319.75,55918.5,40545.12,15373.379999999997,27.49247565653585
ORD-00229,2026-06-26,Lahore,Clothing,Trousers,Falcon Industries,1,7672.42,7672.42,5026.38,2646.04,34.487684459401336
ORD-00044,2026-02-12,Karachi,Office Supplies,Ink Cartridge,Unity Co,3,9369.15,28107.45,19966.32,8141.130000000001,28.964313731768627
ORD-00572,2026-05-16,Multan,Electronics,Smartphone,Green Solutions,3,93438.9,280316.7,234073.86,46242.840000000026,16.496641120561144
ORD-00405,2026-01-30,Lahore,Unknown,Trousers,Falcon Ltd,6,8784.67,52708.02,30822.9,21885.119999999995,41.52142311549551
ORD-00039,2026-05-08,Karachi,Unknown,Jacket,Alpha Stores,4,18587.22,74348.88,44731.52,29617.360000000008,39.83565051686052
ORD-00167,2026-01-06,Lahore,Office Supplies,Printer Paper Box,Vertex Traders,4,4458.22,17832.88,11706.96,6125.920000000002,34.35182651372073
ORD-00474,2026-06-19,Rawalpindi,Furniture,Office Chair,Nexus Stores,3,39707.35,119122.05,82712.19,36409.86,30.565172442885256
ORD-00420,2026-03-15,Faisalabad,Home Appliances,Vacuum Cleaner,Sigma Mart,6,33207.98,199247.88,150392.7,48855.17999999999,24.519799156708714
ORD-00297,2026-03-19,Karachi,Office Supplies,Notebook Pack,Sigma Enterprises,3,1755.05,5265.15,3346.38,1918.7699999999995,36.44283638642773
ORD-00136,2026-03-05,Karachi,Electronics,Wireless Earbuds,Green Stores,1,14576.94,14576.94,9361.75,5215.1900000000005,35.7769874884578
ORD-00111,2026-04-26,Multan,Furniture,Filing Cabinet,Indus Enterprises,1,33466.4,33466.4,23019.14,10447.260000000002,31.217161092917078
ORD-00371,2026-02-20,Faisalabad,Office Supplies,Ink Cartridge,Green Industries,5,9185.5,45927.5,33451.15,12476.349999999999,27.165314898481295
ORD-00403,2026-05-21,Faisalabad,Home Appliances,Vacuum Cleaner,Green Enterprises,6,33366.31,200197.86,143227.32,56970.53999999998,28.457117373782108
ORD-00539,2026-02-19,Karachi,Office Supplies,Ink Cartridge,Nexus Traders,6,9076.13,54456.78,43413.18,11043.599999999999,20.27956849450151
