sale_id,property_id,sale_date,sale_price
S00001,P0001,2025-08-19,329615.21
S00002,P0001,2026-01-25,341280.56
S00003,P0002,2025-11-20,915111.05
S00004,P0002,2026-06-19,1022410.3
S00005,P0003,2025-11-06,1151451.55
S00006,P0003,2026-04-06,1218200.22
S00007,P0004,2025-04-24,397638.79
S00008,P0004,2026-05-24,430971.36
S00009,P0005,2026-08-17,345434.55
S00010,P0006,2024-03-17,499080.77
S00011,P0006,2025-11-17,535370.33
S00012,P0006,2026-03-12,557810.83
S00013,P0007,2026-03-22,487722.1
S00014,P0008,2024-02-11,863376.69
S00015,P0008,2025-01-03,903918.95
S00016,P0008,2026-01-08,984382.96
S00017,P0009,2026-12-02,820268.63
S00018,P0010,2025-02-15,1070540.49
S00019,P0010,2026-11-18,1145056.02
S00020,P0011,2024-08-10,742982.09
S00021,P0011,2025-09-22,839472.35
S00022,P0011,2026-03-07,833147.03
S00023,P0012,2025-04-19,464414.81
S00024,P0012,2026-10-03,492680.46
S00025,P0013,2024-02-03,1092361.7
S00026,P0013,2025-09-09,1162245.97
S00027,P0013,2026-04-12,1226489.02
S00028,P0014,2024-05-20,602478.92
S00029,P0014,2025-05-17,615715.71
S00030,P0014,2026-01-03,678748.48
S00031,P0015,2024-03-02,271054.02
S00032,P0015,2025-01-12,286018.08
S00033,P0015,2026-09-28,300655.38
S00034,P0016,2026-01-28,580670.77
S00035,P0017,2024-09-11,388673.62
S00036,P0017,2025-02-09,455480.39
S00037,P0017,2026-02-20,467267.0
S00038,P0018,2026-12-24,581953.0
S00039,P0019,2025-11-13,671119.78
S00040,P0019,2026-03-20,723485.67
S00041,P0020,2026-04-22,307945.38
S00042,P0021,2025-07-08,264289.18
S00043,P0021,2026-02-25,274900.64
S00044,P0022,2025-08-09,510261.15
S00045,P0022,2026-09-16,575212.18
S00046,P0023,2025-07-11,505846.55
S00047,P0023,2026-07-13,538705.15
S00048,P0024,2026-06-22,617142.42
S00049,P0025,2026-06-11,746589.48
S00050,P0026,2026-01-08,611318.08
S00051,P0027,2026-05-04,1135385.17
S00052,P0028,2025-01-12,456522.36
S00053,P0028,2026-11-11,470869.32
S00054,P0029,2025-06-28,1291517.54
S00055,P0029,2026-08-08,1380390.01
S00056,P0030,2025-09-01,687119.59
S00057,P0030,2026-07-16,737369.28
S00058,P0031,2025-09-11,1114200.64
S00059,P0031,2026-04-04,1138217.21
S00060,P0032,2025-03-09,307446.51
S00061,P0032,2026-03-21,322248.18
S00062,P0033,2026-10-21,458377.17
S00063,P0034,2025-12-04,580395.85
S00064,P0034,2026-04-21,630585.81
S00065,P0035,2025-08-03,350236.45
