order_id,order_date,region,city,channel,customer_segment,product_id,quantity,unit_price,discount_pct,delivery_days,rating,returned,payment_method
ORD-0001,2025-11-24,South,Hyderabad,Online,Consumer,P001,5,4082.01,0.05,1,3.8,No,Cash
ORD-0002,2025-05-23,Central,Lahore,Retail Store,Consumer,P004,2,38683.49,0.15,0,4.8,No,Card
ORD-0003,2025-08-24,North,Rawalpindi,Online,Consumer,P008,2,132612.63,0.05,4,4.7,No,Card
ORD-0004,2025-05-23,North,Rawalpindi,Online,Consumer,P009,1,18621.14,0.0,3,4.2,No,Digital Wallet
ORD-0005,2025-12-17,South,Karachi,Online,Consumer,P003,2,6092.49,0.15,1,3.9,No,Digital Wallet
ORD-0006,2025-05-07,Central,Faisalabad,Retail Store,Consumer,P007,2,243823.49,0.15,1,5,No,Cash
ORD-0007,2025-03-23,Central,Faisalabad,Retail Store,Consumer,P007,2,248433.22,0.15,0,4.1,No,Cash
ORD-0008,2025-05-31,North,Rawalpindi,Online,SME,P009,2,18508.53,0.0,2,3.4,No,Card
ORD-0009,2025-09-29,West,Peshawar,Retail Store,Consumer,P003,2,6035.55,0.1,0,3.4,No,Bank Transfer
ORD-0010,2025-03-06,South,Hyderabad,Corporate,Consumer,P005,2,60129.91,0.1,2,3.3,No,Bank Transfer
ORD-0011,2025-09-22,North,Islamabad,Online,Consumer,P007,1,249315.99,0.0,3,4.0,No,Card
ORD-0012,2025-05-23,Central,Lahore,Retail Store,SME,P011,4,21867.16,0.1,0,5,No,Bank Transfer
ORD-0013,2025-12-01,West,Quetta,Online,SME,P010,1,27085.28,0.0,6,3.5,No,Digital Wallet
ORD-0014,2025-10-09,South,Karachi,Corporate,Enterprise,P011,4,21481.48,0.05,2,4.1,No,Digital Wallet
ORD-0015,2025-08-21,South,Hyderabad,Online,Consumer,P012,3,35530.19,0.05,2,3.0,No,Digital Wallet
ORD-0016,2025-11-01,South,Karachi,Online,Enterprise,P006,8,168952.75,0.1,2,3.6,No,Card
ORD-0017,2025-07-22,South,Hyderabad,Retail Store,Enterprise,P012,4,36765.34,0.1,0,3.9,No,Card
ORD-0018,2025-02-05,Central,Faisalabad,Online,Consumer,P006,2,169125.71,0.15,3,4.2,No,Card
ORD-0019,2025-03-10,South,Karachi,Retail Store,Consumer,P003,3,6089.74,0.05,0,3.8,No,Card
ORD-0020,2025-01-23,South,Karachi,Retail Store,Consumer,P009,2,18567.61,0.0,1,4.2,No,Bank Transfer
ORD-0021,2025-03-17,North,Islamabad,Online,Enterprise,P010,2,28158.23,0.05,3,4.6,No,Digital Wallet
ORD-0022,2025-03-21,West,Quetta,Corporate,Enterprise,P010,5,26715.9,0.1,4,5,No,Digital Wallet
ORD-0023,2025-12-26,South,Karachi,Corporate,Consumer,P010,2,27251.94,0.1,2,5,No,Card
ORD-0024,2025-06-29,Central,Faisalabad,Retail Store,Enterprise,P003,2,6340.26,0.05,1,4.7,No,Bank Transfer
ORD-0025,2025-11-07,West,Quetta,Online,SME,P003,5,6207.41,0.1,5,5,No,Bank Transfer
ORD-0026,2025-11-16,South,Karachi,Retail Store,Consumer,P003,4,6163.69,0.05,0,3.9,No,Bank Transfer
ORD-0027,2025-10-19,South,Karachi,Online,Consumer,P010,2,27442.23,0.05,2,5,No,Cash
ORD-0028,2025-09-21,Central,Faisalabad,Online,Enterprise,P002,4,8656.35,0.0,6,4.5,No,Cash
ORD-0029,2025-10-22,South,Hyderabad,Retail Store,Consumer,P009,1,18935.85,0.1,0,4.3,No,Cash
ORD-0030,2025-03-04,North,Rawalpindi,Retail Store,Enterprise,P007,5,249676.27,0.1,1,3.8,No,Digital Wallet
ORD-0031,2025-09-01,North,Islamabad,Corporate,Consumer,P010,2,27709.13,0.0,4,4.5,No,Card
