order_id,order_date,region,city,channel,customer_segment,product_id,quantity,unit_price,discount_pct,delivery_days,rating,returned,payment_method
ORD-0001,24/11/2025,South,Hyderabad,Online,Consumer,P001,5,4082.01,0.05,1,3.8,No,Cash
ORD-0002,23/05/2025,Central,Lahore,Retail Store,Consumer,P004,2,38683.49,0.15,0,4.8,No,Card
ORD-0003,24/08/2025,North,Rawalpindi,Online,Consumer,P008,2,132612.63,0.05,4,4.7,No,Card
ORD-0004,23/05/2025,North,Rawalpindi,Online,Consumer,P009,1,18621.14,0,3,4.2,No,Digital Wallet
ORD-0005,17/12/2025,South,Karachi,Online,Consumer,P003,2,6092.49,0.15,1,3.9,No,Digital Wallet
ORD-0006,07/05/2025,Central,Faisalabad,Retail Store,Consumer,P007,2,243823.49,0.15,1,5,No,Cash
ORD-0007,23/03/2025,Central,Faisalabad,Retail Store,Consumer,P007,2,248433.22,0.15,0,4.1,No,Cash
ORD-0008,31/05/2025,North,Rawalpindi,Online,SME,P009,2,18508.53,0,2,3.4,No,Card
ORD-0009,29/09/2025,West,Peshawar,Retail Store,Consumer,P003,2,6035.55,0.1,0,3.4,No,Bank Transfer
ORD-0010,06/03/2025,South,Hyderabad,Corporate,Consumer,P005,2,60129.91,0.1,2,3.3,No,Bank Transfer
ORD-0011,22/09/2025,North,Islamabad,Online,Consumer,P007,1,249315.99,0,3,4,No,Card
ORD-0012,23/05/2025,Central,Lahore,Retail Store,SME,P011,4,21867.16,0.1,0,5,No,Bank Transfer
ORD-0013,01/12/2025,West,Quetta,Online,SME,P010,1,27085.28,0,6,3.5,No,Digital Wallet
ORD-0014,09/10/2025,South,Karachi,Corporate,Enterprise,P011,4,21481.48,0.05,2,4.1,No,Digital Wallet
ORD-0015,21/08/2025,South,Hyderabad,Online,Consumer,P012,3,35530.19,0.05,2,3,No,Digital Wallet
ORD-0016,01/11/2025,South,Karachi,Online,Enterprise,P006,8,168952.75,0.1,2,3.6,No,Card
ORD-0017,22/07/2025,South,Hyderabad,Retail Store,Enterprise,P012,4,36765.34,0.1,0,3.9,No,Card
ORD-0018,05/02/2025,Central,Faisalabad,Online,Consumer,P006,2,169125.71,0.15,3,4.2,No,Card
ORD-0019,10/03/2025,South,Karachi,Retail Store,Consumer,P003,3,6089.74,0.05,0,3.8,No,Card
ORD-0020,23/01/2025,South,Karachi,Retail Store,Consumer,P009,2,18567.61,0,1,4.2,No,Bank Transfer
ORD-0021,17/03/2025,North,Islamabad,Online,Enterprise,P010,2,28158.23,0.05,3,4.6,No,Digital Wallet
ORD-0022,21/03/2025,West,Quetta,Corporate,Enterprise,P010,5,26715.9,0.1,4,5,No,Digital Wallet
ORD-0023,26/12/2025,South,Karachi,Corporate,Consumer,P010,2,27251.94,0.1,2,5,No,Card
ORD-0024,29/06/2025,Central,Faisalabad,Retail Store,Enterprise,P003,2,6340.26,0.05,1,4.7,No,Bank Transfer
ORD-0025,07/11/2025,West,Quetta,Online,SME,P003,5,6207.41,0.1,5,5,No,Bank Transfer
ORD-0026,16/11/2025,South,Karachi,Retail Store,Consumer,P003,4,6163.69,0.05,0,3.9,No,Bank Transfer
ORD-0027,19/10/2025,South,Karachi,Online,Consumer,P010,2,27442.23,0.05,2,5,No,Cash
ORD-0028,21/09/2025,Central,Faisalabad,Online,Enterprise,P002,4,8656.35,0,6,4.5,No,Cash
ORD-0029,22/10/2025,South,Hyderabad,Retail Store,Consumer,P009,1,18935.85,0.1,0,4.3,No,Cash
ORD-0030,04/03/2025,North,Rawalpindi,Retail Store,Enterprise,P007,5,249676.27,0.1,1,3.8,No,Digital Wallet
ORD-0031,01/09/2025,North,Islamabad,Corporate,Consumer,P010,2,27709.13,0,4,4.5,No,Card
ORD-0032,29/04/2025,North,Islamabad,Retail Store,Consumer,P004,2,39300.38,0,0,3.4,No,Card
ORD-0033,02/09/2025,South,Hyderabad,Online,Consumer,P011,2,21484.82,0,3,3.6,No,Cash
ORD-0034,07/03/2025,West,Quetta,Corporate,SME,P009,1,18658.45,0,5,3.9,No,Card
ORD-0035,14/07/2025,South,Hyderabad,Online,Consumer,P001,3,4130.5,0,2,4.4,Yes,Card
